Date,Close,High,Low,Open,Volume,,,,,
2024-01-26,16961.39063,16967.7207,16849.31055,16879.00977,84664200,,,,,
2024-01-29,16941.71094,16941.71094,16860.05078,16925.39063,65956600,,,,,
2024-01-30,16972.33984,16999.58008,16946.56055,16991.36914,61107500,,,,,
2024-01-31,16903.75977,16991.83984,16884.86914,16972.4707,84388500,,,,,
2024-02-01,16859.03906,16915.91992,16821.59961,16834.13086,89451400,,,,,
2024-02-02,16918.21094,17004.55078,16894.66992,16977.75,85847300,,,,,
2024-02-05,16904.06055,16972.61914,16859,16925.9707,69935700,,,,,
2024-02-06,17033.24023,17049.51953,16871.32031,16965.89063,75544200,,,,,
2024-02-07,16921.96094,17021.55078,16907.15039,17020.76953,93039700,,,,,
2024-02-08,16963.83008,17029.53906,16889.13086,16936.14063,67419300,,,,,
2024-02-09,16926.5,16993.11914,16876.35938,16973.58008,61639700,,,,,
2024-02-12,17037.34961,17042.74023,16958.80078,16975.99023,53286500,,,,,
2024-02-13,16880.83008,16991.60938,16831.5293,16987.08984,62956700,,,,,
2024-02-14,16945.48047,16957.7793,16857.33984,16872.89063,53717300,,,,,
2024-02-15,17046.68945,17089.11914,17003.82031,17022.53906,83791100,,,,,
2024-02-16,17117.43945,17198.44922,17060.38086,17117.36914,76375500,,,,,
2024-02-19,17092.25977,17098.60938,17049.2207,17075.74023,43224700,,,,,
2024-02-20,17068.42969,17084.86914,17019.15039,17066.23047,62710700,,,,,
2024-02-21,17118.11914,17157.94922,17063.25,17102.08008,59403800,,,,,
2024-02-22,17370.44922,17429.66016,17279.73047,17326.75977,86130500,,,,,
2024-02-23,17419.33008,17443.74023,17354.75977,17372.00977,76799700,,,,,
2024-02-26,17423.23047,17460.5293,17396.40039,17396.74023,53156400,,,,,
2024-02-27,17556.49023,17563.41016,17428.16992,17431.36914,59725400,,,,,
2024-02-28,17601.2207,17605.60938,17552.98047,17569.60938,56644500,,,,,
2024-02-29,17678.18945,17742.48047,17620.10938,17634.60938,102738500,,,,,
2024-03-01,17735.07031,17816.51953,17690.89063,17793.4707,85782600,,,,,
2024-03-04,17716.16992,17756.39063,17684.73047,17743.43945,1220700,,,,,
2024-03-05,17698.40039,17746.57031,17643.10938,17682.7793,74178400,,,,,
2024-03-06,17716.71094,17745.16016,17682.50977,17685.91992,91487700,,,,,
2024-03-07,17842.84961,17879.10938,17619.40039,17648.89063,86702800,,,,,
2024-03-08,17814.50977,17860.50977,17795.13086,17849.84961,67940300,,,,,
2024-03-11,17746.26953,17750.7207,17662.55078,17690.94922,66646400,,,,,
2024-03-12,17965.10938,17973.2207,17746.89063,17810.15039,91388300,,,,,
2024-03-13,17961.38086,18001.41992,17939.56055,17984.5,92880500,,,,,
2024-03-14,17942.03906,18039.05078,17899.92969,18002.9707,93590600,,,,,
2024-03-15,17936.65039,18038.10938,17926.7207,17938.14063,202910600,,,,,
2024-03-18,17932.67969,18015.49023,17902.91992,17936.31055,63024300,,,,,
2024-03-19,17987.49023,17998.03906,17914.17969,17932.17969,73421100,,,,,
2024-03-20,18015.13086,18044.49023,17955.68945,17987.91016,61711000,,,,,
2024-03-21,18179.25,18179.81055,18019.85938,18019.85938,79118500,,,,,
2024-03-22,18205.93945,18225.9707,18140.99023,18175.08008,68616300,,,,,
2024-03-25,18261.31055,18285.58008,18176.84961,18206.35938,53804600,,,,,
2024-03-26,18384.34961,18411.98047,18256.81055,18262.10938,58786600,,,,,
2024-03-27,18477.08984,18511.16992,18385.16992,18385.16992,66344700,,,,,
2024-03-28,18492.49023,18513.83008,18468.86914,18477.40039,75716300,,,,,
2024-04-02,18283.13086,18567.16016,18275.93945,18492.35938,82077300,,,,,
2024-04-03,18367.7207,18376.08008,18281.82031,18281.82031,76334900,,,,,
2024-04-04,18403.13086,18427.42969,18340.24023,18366.36914,62521400,,,,,
2024-04-05,18175.03906,18401.83008,18088.0293,18401.83008,77046500,,,,,
2024-04-08,18318.9707,18326.36914,18163.39063,18163.39063,61073600,,,,,
2024-04-09,18076.68945,18318.50977,18058.2207,18318.40039,65276400,,,,,
